"species","no_countries","no_countries_threatened","percentage_threatened","redlistCategory"
"Taraxacum linguatifrons",4,1,0.25,NA
"Taraxacum lissocarpum",3,1,0.333333333333333,NA
"Taraxacum litigiosum",1,1,1,NA
"Taraxacum maculigerum",6,2,0.333333333333333,NA
"Taraxacum madidum",7,2,0.285714285714286,NA
"Taraxacum maricum",5,1,0.2,NA
"Taraxacum mazzettii",2,1,0.5,NA
"Taraxacum melzerianum",1,1,1,NA
"Taraxacum memorabile",1,1,1,NA
"Taraxacum mendax",5,1,0.2,NA
"Taraxacum molybdolepis",2,1,0.5,NA
"Taraxacum multilepis",3,1,0.333333333333333,NA
"Taraxacum neoaellenii",2,1,0.5,NA
"Taraxacum nordstedtii",13,3,0.230769230769231,NA
"Taraxacum obliquum",8,2,0.25,NA
"Taraxacum obtusilobum",5,1,0.2,NA
"Taraxacum odiosum",1,1,1,NA
"Taraxacum olivaceum",5,1,0.2,NA
"Taraxacum pacheri",3,1,0.333333333333333,NA
"Taraxacum paludem-ornans",2,1,0.5,NA
"Taraxacum paucilobum",7,2,0.285714285714286,NA
"Taraxacum pauckertianum",5,2,0.4,NA
"Taraxacum persimile",1,1,1,NA
"Taraxacum pieninicum",2,1,0.5,NA
"Taraxacum platyglossum",8,1,0.125,NA
"Taraxacum pollichii",1,1,1,NA
"Taraxacum pomposum",1,1,1,NA
"Taraxacum portentosum",2,1,0.5,NA
"Taraxacum princeps",2,1,0.5,NA
"Taraxacum prionum",4,2,0.5,NA
"Taraxacum pseudobalticum",3,1,0.333333333333333,NA
"Taraxacum pseudosuecicum",1,1,1,NA
"Taraxacum ptilotoides",1,1,1,NA
"Taraxacum quaesitum",1,1,1,NA
"Taraxacum ranunculus",2,1,0.5,NA
"Taraxacum reichenbachii",2,1,0.5,NA
"Taraxacum reichlingii",5,3,0.6,NA
"Taraxacum retroversum",1,1,1,NA
"Taraxacum rivulare",1,1,1,NA
"Taraxacum ruberulum",3,1,0.333333333333333,NA
"Taraxacum rubicundum",16,1,0.0625,NA
"Taraxacum rubidipes",1,1,1,NA
"Taraxacum rubrisquameum",6,1,0.166666666666667,NA
"Taraxacum rutilum",1,1,1,NA
"Taraxacum saphycraspedum",2,1,0.5,NA
"Taraxacum skalinskanum",3,1,0.333333333333333,NA
"Taraxacum solenanthinum",1,1,1,NA
"Taraxacum subalpinum",5,2,0.4,NA
"Taraxacum subdolum",4,1,0.25,NA
"Taraxacum subericinum",7,1,0.142857142857143,NA
"Taraxacum subhamatum",7,1,0.142857142857143,NA
"Taraxacum subintegrum",3,1,0.333333333333333,NA
"Taraxacum subnaevosum",2,1,0.5,NA
"Taraxacum suecicum",4,1,0.25,NA
"Taraxacum tarraconense",1,1,1,NA
"Taraxacum triforme",1,1,1,NA
"Taraxacum trilobifolium",5,2,0.4,NA
"Taraxacum turfosum",4,2,0.5,NA
"Taraxacum udum",5,1,0.2,NA
"Taraxacum uvidum",3,1,0.333333333333333,NA
"Taraxacum vestrogothicum",2,1,0.5,NA
"Taraxacum vindobonense",6,2,0.333333333333333,NA
"Taraxacum vinosum",1,1,1,NA
"Taraxacum xerophilum",3,1,0.333333333333333,NA
"Teline pallida",1,1,1,NA
"Tephroseris crispa",9,3,0.333333333333333,NA
"Tephroseris elodes",1,1,1,NA
"Tephroseris helenitis",7,4,0.571428571428571,NA
"Tephroseris longifolia",6,2,0.333333333333333,NA
"Teucrium aristatum",2,2,1,NA
"Teucrium cuneifolium",1,1,1,NA
"Teucrium edetanum",1,1,1,NA
"Teucrium lepicephalum",1,1,1,"Endangered"
"Teucrium terciae",1,1,1,NA
"Teucrium turredanum",1,1,1,"Vulnerable"
"Thalictrum maritimum",1,1,1,NA
"Thesium auriculatum",2,1,0.5,NA
"Thesium canariense",1,1,1,NA
"Thesium dollineri",5,2,0.4,NA
"Thesium humifusum",6,4,0.666666666666667,NA
"Thesium linophyllon",16,4,0.25,NA
"Thesium parnassi",4,1,0.25,NA
"Thesium psilotocladum",1,1,1,NA
"Thesium pyrenaicum",12,5,0.416666666666667,NA
"Thesium retamoides",1,1,1,NA
"Thesium rostratum",6,3,0.5,NA
"Thesium subsucculentum",1,1,1,NA
"Thinopyrum varnense",3,1,0.333333333333333,NA
"Thlaspi zaffranii",1,1,1,NA
"Thymbra calostachya",1,1,1,NA
"Thymelaea broteriana",2,2,1,"Near Threatened"
"Thymelaea bulgarica",1,1,1,NA
"Thymelaea coridifolia",2,1,0.5,NA
"Thymelaea dioica",3,1,0.333333333333333,NA
"Thymelaea granatensis",1,1,1,NA
"Thymelaea ruizii",2,1,0.5,NA
"Thymus albicans",2,2,1,"Vulnerable"
"Thymus alpestris",6,1,0.166666666666667,NA
"Thymus bracteosus",1,1,1,NA
"Thymus carnosus",2,1,0.5,"Near Threatened"
"Thymus laconicus",1,1,1,NA
"Thymus × littoralis",1,1,1,NA
"Thymus oenipontanus",5,1,0.2,NA
"Thymus origanoides",1,1,1,NA
"Thymus perinicus",2,1,0.5,NA
"Thymus plasonii",1,1,1,NA
"Thymus pulcherrimus",4,1,0.25,NA
"Thymus stojanovii",3,1,0.333333333333333,NA
"Tolpis crassiuscula",1,1,1,NA
"Tolpis glabrescens",1,1,1,"Endangered"
"Tommasinia altissima",6,1,0.166666666666667,NA
"Tozzia alpina",8,2,0.25,NA
"Tragopogon borysthenicus",2,1,0.5,NA
"Tragopogon floccosus",6,2,0.333333333333333,NA
"Tragopogon lassithicus",1,1,1,NA
"Tragopogon pseudocastellanus",1,1,1,NA
"Tragopogon stribrnyi",1,1,1,NA
"Trifolium saxatile",4,3,0.75,"Near Threatened"
"Trifolium wettsteinii",2,1,0.5,NA
"Tripolium sorrentinoi",1,1,1,NA
"Trisetaria dufourei",2,1,0.5,"Least Concern"
"Trisetum glaciale",1,1,1,"Vulnerable"
"Trisetum gracile",2,1,0.5,"Near Threatened"
"Trochiscanthes nodiflora",3,1,0.333333333333333,NA
"Trollius altissimus",5,1,0.2,NA
"Trommsdorffia facchiniana",1,1,1,NA
"Tuberaria globulariifolia",2,1,0.5,NA
"Tulipa akamasica",1,1,1,NA
"Tulipa albanica",1,1,1,"Critically Endangered"
"Tulipa cypria",1,1,1,NA
"Tulipa hungarica",4,3,0.75,"Near Threatened"
"Tulipa kosovarica",1,1,1,NA
"Ulex argenteus",2,1,0.5,"Least Concern"
"Ulex canescens",1,1,1,NA
"Ulex erinaceus",1,1,1,NA
"Urtica atrovirens",3,1,0.333333333333333,NA
"Urtica rupestris",1,1,1,NA
"Utricularia bremii",14,9,0.642857142857143,"Data Deficient"
"Vaccinium × hagerupii",4,1,0.25,NA
"Valantia aprica",2,1,0.5,NA
"Valantia calva",1,1,1,NA
"Valeriana bertiscea",3,2,0.666666666666667,NA
"Valeriana crinii",2,1,0.5,NA
"Valeriana excelsa",8,1,0.125,NA
"Valeriana montana",13,2,0.153846153846154,NA
"Valeriana saxatilis",6,1,0.166666666666667,NA
"Valeriana simplicifolia",7,2,0.285714285714286,NA
"Valeriana stolonifera",2,1,0.5,NA
"Vella bourgaeana",1,1,1,NA
"Vella castrilensis",1,1,1,NA
"Vella lucentina",1,1,1,NA
"Verbascum anisophyllum",2,1,0.5,NA
"Verbascum chaixii",7,2,0.285714285714286,NA
"Verbascum charidemi",1,1,1,NA
"Verbascum conocarpum",2,1,0.5,NA
"Verbascum cylleneum",1,1,1,NA
"Verbascum davidoffii",1,1,1,NA
"Verbascum decorum",1,1,1,NA
"Verbascum dieckianum",3,1,0.333333333333333,NA
"Verbascum fontqueri",1,1,1,NA
"Verbascum glabratum",5,1,0.2,NA
"Verbascum guicciardii",2,1,0.5,NA
"Verbascum jankaeanum",1,1,1,NA
"Verbascum juruk",1,1,1,NA
"Verbascum nicolai",2,1,0.5,NA
"Verbascum pseudonobile",2,1,0.5,NA
"Verbascum rupestre",2,1,0.5,NA
"Verbascum scardicola",2,1,0.5,NA
"Verbascum spathulisepalum",2,1,0.5,NA
"Verbascum syriacum",1,1,1,NA
"Verbascum tzar-borisii",1,1,1,NA
"Verbascum vandasii",3,2,0.666666666666667,NA
"Veronica aphylla",13,1,0.0769230769230769,NA
"Veronica austriaca",9,4,0.444444444444444,NA
"Veronica baumgartenii",4,1,0.25,NA
"Veronica bellidioides",13,3,0.230769230769231,NA
"Veronica chamaepithyoides",1,1,1,NA
"Veronica glauca",3,1,0.333333333333333,NA
"Veronica micrantha",2,1,0.5,"Vulnerable"
"Veronica nevadensis",2,1,0.5,"Least Concern"
"Veronica oetaea",1,1,1,"Critically Endangered"
"Veronica orsiniana",4,1,0.25,NA
"Veronica satureiifolia",6,1,0.166666666666667,NA
"Veronica saturejoides",3,1,0.333333333333333,NA
"Vicia argentea",2,2,1,NA
"Vicia bifoliolata",1,1,1,"Critically Endangered"
"Vicia cusnae",2,1,0.5,NA
"Vicia giacominiana",1,1,1,NA
"Vicia montenegrina",3,1,0.333333333333333,NA
"Vicia nataliae",1,1,1,NA
"Vicia orobus",10,7,0.7,"Least Concern"
"Vicia serinica",2,1,0.5,NA
"Vicia sparsiflora",7,2,0.285714285714286,NA
"Vincetoxicum huteri",3,1,0.333333333333333,NA
"Vincetoxicum pannonicum",1,1,1,"Vulnerable"
"Viola acrocerauniensis",1,1,1,NA
"Viola aetolica",3,1,0.333333333333333,NA
"Viola alpina",4,1,0.25,NA
"Viola anagae",1,1,1,NA
"Viola bubanii",3,1,0.333333333333333,NA
"Viola cazorlensis",1,1,1,NA
"Viola cephalonica",1,1,1,NA
"Viola cheiranthifolia",1,1,1,NA
"Viola chelmea",2,1,0.5,NA
"Viola cryana",1,1,1,"Extinct"
"Viola dacica",7,2,0.285714285714286,NA
"Viola delphinantha",2,1,0.5,"Near Threatened"
"Viola dukadjinica",3,1,0.333333333333333,NA
"Viola elegantula",2,1,0.5,NA
"Viola epirota",2,1,0.5,NA
"Viola etrusca",1,1,1,NA
"Viola eximia",3,1,0.333333333333333,NA
"Viola grisebachiana",4,2,0.5,NA
"Viola herzogii",2,1,0.5,NA
"Viola hispida",1,1,1,"Critically Endangered"
"Viola jooi",2,1,0.5,NA
"Viola kosaninii",3,1,0.333333333333333,NA
"Viola lactea",6,3,0.5,NA
"Viola lutea",9,4,0.444444444444444,NA
"Viola macedonica",4,1,0.25,NA
"Viola magellensis",2,1,0.5,NA
"Viola orbelica",2,1,0.5,NA
"Viola palmensis",1,1,1,NA
"Viola perinensis",2,1,0.5,NA
"Viola prenja",9,1,0.111111111111111,NA
"Viola pyrenaica",9,1,0.111111111111111,NA
"Viola × raunsiensis",1,1,1,NA
"Viola schariensis",2,1,0.5,NA
"Viola stojanowii",2,1,0.5,NA
"Viola tineorum",1,1,1,NA
"Viola ucriana",1,1,1,"Critically Endangered"
"Viola zoysii",3,1,0.333333333333333,NA
"Viscaria nivalis",1,1,1,NA
"Visnaga crinita",1,1,1,NA
"Vogtia microphylla",2,1,0.5,NA
"Volutaria bollei",1,1,1,NA
"Woodsia pulchella",8,3,0.375,"Near Threatened"
"Wulfenia baldaccii",1,1,1,NA
"Wulfenia carinthiaca",4,3,0.75,NA
"Zelkova sicula",1,1,1,"Critically Endangered"
